1,0,1800
1,1,3600
1,2,2100
1,3,1800
2,0,1800
2,1,1000
2,2,1800
2,3,1200
3,0,900
3,1,1800
3,2,1800
3,3,1800
4,0,900
4,1,3600
4,2,1800
4,3,4200
5,0,3600
5,1,900
5,2,1800
5,3,3600
6,0,4800
6,1,1200
6,2,1800
6,3,1800
7,0,7200
7,1,2700
7,2,1800
7,3,1800
8,0,3600
8,1,1800
8,2,1800
8,3,1800
9,0,2700
9,1,1800
9,2,1200
9,3,900
10,0,4200
10,1,1800
10,2,2100
10,3,900
11,0,900
11,1,3600
11,2,1800
11,3,1000
12,0,3600
12,1,1800
12,2,1800
12,3,1800
13,0,4800
13,1,1200
13,2,1800
13,3,1800
14,0,7200
14,1,3600
14,2,1800
14,3,1800
